site,distance_m,width_cm,depth_cm,velocity_ms,Date,Time
Gavi_above,0,40,38,0.05,7/13/2021,10:30
Gavi_above,5,45,32,0.23,7/13/2021,10:30
Gavi_above,10,40,33,0.2,7/13/2021,10:30
Gavi_above,15,68,60,0.07,7/13/2021,10:30
Gavi_above,20,67,8,0.6,7/13/2021,10:30
Gavi_above,25,65,14,0.35,7/13/2021,10:30
Gavi_above,30,42,11,0.5,7/13/2021,10:30
Gavi_above,35,44,9,0.55,7/13/2021,10:30
Gavi_above,40,68,19,0.3,7/13/2021,10:30
Gavi_above,45,70,3,1.3,7/13/2021,10:30
Gavi_above,50,55,3,1,7/13/2021,10:30
Gavi_above,55,55,17,0.37,7/13/2021,10:30
Gavi_above,60,60,3,0.95,7/13/2021,10:30
Gavi_above,65,50,3,1.1,7/13/2021,10:30
Gavi_above,70,61,5,1.12,7/13/2021,10:30
Gavi_above,75,56,7,1.5,7/13/2021,10:30
Gavi_above,80,66,20,0.14,7/13/2021,10:30
Gavi_above,85,115,62,0.09,7/13/2021,10:30
Gavi_above,90,62,6,0.9,7/13/2021,10:30
Gavi_above,95,48,18,0.22,7/13/2021,10:30
Gavi_above,100,119,14,0.32,7/13/2021,10:30
Gavi_above,105,73,28,0.07,7/13/2021,10:30
Gavi_above,110,62,16,0.03,7/13/2021,10:30
Gavi_above,115,42,20,0.19,7/13/2021,10:30
Gavi_above,120,102,9,0.09,7/13/2021,10:30
Gavi_above,125,NA,NA,NA,7/13/2021,10:30
Gavi_above,130,NA,NA,NA,7/13/2021,10:30
Gavi_above,135,NA,NA,NA,7/13/2021,10:30
Gavi_above,140,NA,NA,NA,7/13/2021,10:30
Gavi_above,0,NA,NA,NA,7/14/2021,10:30
Gavi_above,5,46,28,0.19,7/14/2021,10:30
Gavi_above,10,37,31,0.18,7/14/2021,10:30
Gavi_above,15,61,41,0.04,7/14/2021,10:30
Gavi_above,20,26,11,0.5,7/14/2021,10:30
Gavi_above,25,55,14,0.28,7/14/2021,10:30
Gavi_above,30,43,6,0.58,7/14/2021,10:30
Gavi_above,35,47,7,0.23,7/14/2021,10:30
Gavi_above,40,52,8,0.75,7/14/2021,10:30
Gavi_above,45,67,4,0.8,7/14/2021,10:30
Gavi_above,50,32,4,1.35,7/14/2021,10:30
Gavi_above,55,46,3,0.65,7/14/2021,10:30
Gavi_above,60,47,4,0.85,7/14/2021,10:30
Gavi_above,65,51,3,0.86,7/14/2021,10:30
Gavi_above,70,64,3,0.68,7/14/2021,10:30
Gavi_above,75,57,3,0.92,7/14/2021,10:30
Gavi_above,80,60,16,0.15,7/14/2021,10:30
Gavi_above,85,120,21,0.11,7/14/2021,10:30
Gavi_above,90,58,2,0.78,7/14/2021,10:30
Gavi_above,95,41,9,0.35,7/14/2021,10:30
Gavi_above,100,18,12,0.74,7/14/2021,10:30
Gavi_above,105,66,23,0.13,7/14/2021,10:30
Gavi_above,110,63,19,0.05,7/14/2021,10:30
Gavi_above,115,45,22,0.18,7/14/2021,10:30
Gavi_above,120,68,14,0.28,7/14/2021,10:30
Gavi_above,125,33,8,0.49,7/14/2021,10:30
Gavi_below,0,75,15,1.75,7/20/2021,10:30
Gavi_below,5,92,10,0.35,7/20/2021,10:30
Gavi_below,10,50,26,1.45,7/20/2021,10:30
Gavi_below,15,56,21,1.95,7/20/2021,10:30
Gavi_below,20,62,26,0.85,7/20/2021,10:30
Gavi_below,25,68,19,1.17,7/20/2021,10:30
Gavi_below,30,45,25,1.13,7/20/2021,10:30
Gavi_below,35,64,26,0.8,7/20/2021,10:30
Gavi_below,40,75,23,0.94,7/20/2021,10:30
Gavi_below,45,65,19,1.13,7/20/2021,10:30
Gavi_below,50,46,24,0.85,7/20/2021,10:30
Gavi_below,55,65,20,1.6,7/20/2021,10:30
Gavi_below,60,58,19,0.8,7/20/2021,10:30
Gavi_below,65,69,32,0.42,7/20/2021,10:30
Gavi_below,70,55,52,0.38,7/20/2021,10:30
Gavi_below,75,37,56,0.37,7/20/2021,10:30
Gavi_below,80,54,67,0.3,7/20/2021,10:30
Gavi_below,85,102,32,0.44,7/20/2021,10:30
Gavi_below,90,91,52,0.24,7/20/2021,10:30
Gavi_below,95,25,68,0.7,7/20/2021,10:30
Gavi_below,100,23,40,0.63,7/20/2021,10:30
Gavi_below,105,45,17,1.1,7/20/2021,10:30
Gavi_below,110,47,13,1.53,7/20/2021,10:30
Gavi_below,115,32,19,1.68,7/20/2021,10:30
Gavi_below,120,42,38,0.98,7/20/2021,10:30
Gavi_below,0,47,89,0.8,7/21/2021,10:30
Gavi_below,5,70,50,0.48,7/21/2021,10:30
Gavi_below,10,70,69,0.69,7/21/2021,10:30
Gavi_below,15,110,73,0.35,7/21/2021,10:30
Gavi_below,20,120,74,0.38,7/21/2021,10:30
Gavi_below,25,180,90,0.43,7/21/2021,10:30
Gavi_below,30,197,92,0.13,7/21/2021,10:30
Gavi_below,35,240,88,0.31,7/21/2021,10:30
Gavi_below,40,110,99,0.15,7/21/2021,10:30
Gavi_below,45,140,86,0.19,7/21/2021,10:30
Gavi_below,50,117,51,0.36,7/21/2021,10:30
Gavi_below,55,85,54,0.52,7/21/2021,10:30
Gavi_below,60,84,44,0.54,7/21/2021,10:30
Gavi_below,65,137,83,0.39,7/21/2021,10:30
Gavi_below,70,118,47,0.83,7/21/2021,10:30
Gavi_below,75,110,62,0.59,7/21/2021,10:30
Gavi_below,80,136,51,0.68,7/21/2021,10:30
Gavi_below,85,125,72,0.56,7/21/2021,10:30
Gavi_below,90,189,62,0.54,7/21/2021,10:30
Gavi_below,95,192,42,1.31,7/21/2021,10:30
Gavi_below,100,265,98,0.39,7/21/2021,10:30
Gavi_below,105,150,99,0.18,7/21/2021,10:30
Gavi_below,110,NA,NA,NA,7/21/2021,10:30
Gavi_below,115,113,45,0.86,7/21/2021,10:30
Gavi_below,120,105,27,0.92,7/21/2021,10:30
